"week","assetId","template","formatSet","title","sourceUrl","hook","dataOverlay","cta","distribution"
"3","planning-11","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 5-unit Conversion of existing property into 5 self-contained flats (1 x 3-bed, 1 x 2- in Brixton","/news/2026-09-08-25-01838-ful-brixton-planning-approved","London Borough of Lambeth has approved 5 residential units at 73 Woodbourne Avenue London SW16 1UX. Local sold-price evidence indicates a median price of £540,000; high-level 70% LTGDV senior debt would be approximately £1,625,337.","Indicative 70% LTGDV funding view","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"3","planning-12","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 6-unit Prior Notification is sought for the conversion of an empty building into 6 se in Woolwich","/news/2026-09-07-26-2054-pn2-woolwich-planning-approved","Royal Borough of Greenwich has approved 6 residential units at 35-37 MARKET STREET, LONDON, SE18 6QP. Local sold-price evidence indicates a median price of £450,000; high-level 70% LTGDV senior debt would be approximately £1,512,000.","Indicative 70% LTGDV funding view","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"3","planning-13","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 6-unit Permission in principle for erection of upto six dwellings in Bromsgrove","/news/2026-09-07-26-00845-pip-bromsgrove-planning-approved","Bromsgrove & Redditch Councils has approved 6 residential units at Land Adjacent To 22 Alcester Road Wythall Worcestershire B47 5NE. Local sold-price evidence indicates a median price of £335,000; high-level 70% LTGDV senior debt would be approximately £1,407,000.","Indicative 70% LTGDV funding view","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"3","planning-14","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 5-unit Demolition of existing buildings and replacement with five dwellings, together in Solihull","/news/2026-09-08-pl-2024-01597-ppfl-solihull-planning-approved","Solihull Metropolitan Borough Council has approved 5 residential units at Peartree Farm 2141 Warwick Road Knowle Solihull B93 0EF. Local sold-price evidence indicates a median price of £328,000; high-level 70% LTGDV senior debt would be approximately £1,148,000.","Indicative 70% LTGDV funding view","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"3","planning-15","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 7-unit Erection of seven residential dwellings (Use Class C3) with associated access  in Rochdale","/news/2026-09-09-pl-2026-0196-rochdale-planning-approved","Rochdale Borough Council has approved 7 residential units at Land at Egerton Street (Former New Jerusalem Church), Middleton, M24 4QD. Local sold-price evidence indicates a median price of £195,000; high-level 70% LTGDV senior debt would be approximately £955,500.","Indicative 70% LTGDV funding view","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"4","planning-16","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 4-unit Demolition of three existing light industrial buildings and erection of four r in Ashford","/news/2026-09-07-pa-2026-1232-ashford-planning-approved","Ashford Borough Council has approved 4 residential units at Chunnel Estate, Victoria Road, Ashford. Local sold-price evidence indicates a median price of £340,000; high-level 70% LTGDV senior debt would be approximately £952,000.","Indicative 70% LTGDV funding view","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"4","planning-17","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 7-unit Change of use from a public house to a mixed use comprising seven residential  in Canterbury","/news/2026-09-09-ca-24-00935-canterbury-planning-approved","Canterbury City Council has approved 7 residential units at Rodneys Head North Street Herne Bay CT6 5HB. Local sold-price evidence indicates a median price of £335,000; high-level 70% LTGDV senior debt would be approximately £919,975.","Indicative 70% LTGDV funding view","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"4","planning-18","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 2-unit Use of the basement and ground floor as 2 x separate self-contained dwellings  in Battersea","/news/2026-09-10-2026-2567-battersea-planning-approved","London Borough of Wandsworth has approved 2 residential units at Flat 1 100 Mysore Road SW11 5SA. Local sold-price evidence indicates a median price of £640,000; high-level 70% LTGDV senior debt would be approximately £896,000.","Indicative 70% LTGDV funding view","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"4","planning-19","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 3-unit Proposed conversion of single dwellinghouse into 3x self-contained flats, soft in Wembley","/news/2026-09-07-26-1088-wembley-planning-approved","London Borough of Brent has approved 3 residential units at 60 Acton Lane, London, NW10 8TU. Local sold-price evidence indicates a median price of £520,000; high-level 70% LTGDV senior debt would be approximately £797,885.","Indicative 70% LTGDV funding view","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"4","planning-20","Planning approval funding view","9:16, 1:1, 16:9","Planning approved: 2-unit Determination as to whether prior approval is required for change of use from  in Battersea","/news/2026-09-07-2026-2332-battersea-planning-approved","London Borough of Wandsworth has approved 2 residential units at 111 Mitcham Lane SW16 6LY. Local sold-price evidence indicates a median price of £640,000; high-level 70% LTGDV senior debt would be approximately £728,000.","Indicative 70% LTGDV funding view","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, email outreach"
"1","seo-1","Planning approval funding view","9:16, 1:1, 16:9","fast bridging loan","/guides/fast-bridging-loan","What developers need to know about fast bridging loan","1300 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-2","70% LTGDV site breakdown","9:16, 1:1, 16:9","fast bridging loans","/guides/fast-bridging-loans","What developers need to know about fast bridging loans","1300 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-3","Bridging loan rate explainer","9:16, 1:1, 16:9","fast bridging finance","/guides/fast-bridging-finance","What developers need to know about fast bridging finance","1000 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-4","Development exit finance explainer","9:16, 1:1, 16:9","bridging loan property development","/guides/bridging-loan-property-development","What developers need to know about bridging loan property development","390 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-5","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","development exit finance","/guides/development-exit-finance","What developers need to know about development exit finance","720 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-6","Location market snapshot","9:16, 1:1, 16:9","fastest bridging loan","/guides/fastest-bridging-loan","What developers need to know about fastest bridging loan","1000 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-7","Weekly market and rate update","9:16, 1:1, 16:9","bridging finance property development","/guides/bridging-finance-property-development","What developers need to know about bridging finance property development","390 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-8","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","bridging loan fast","/guides/bridging-loan-fast","What developers need to know about bridging loan fast","1300 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-9","Case study animation","9:16, 1:1, 16:9","bridging loans brokers","/services/bridging-loans-brokers","What developers need to know about bridging loans brokers","720 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","seo-10","Developer mistakes short","9:16, 1:1, 16:9","quick bridging loans","/guides/quick-bridging-loans","What developers need to know about quick bridging loans","1000 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-11","Planning approval funding view","9:16, 1:1, 16:9","quick bridging loan","/guides/quick-bridging-loan","What developers need to know about quick bridging loan","1300 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-12","70% LTGDV site breakdown","9:16, 1:1, 16:9","commercial bridge loan","/guides/commercial-bridge-loan","What developers need to know about commercial bridge loan","1000 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-13","Bridging loan rate explainer","9:16, 1:1, 16:9","loan for property development","/guides/loan-for-property-development","What developers need to know about loan for property development","1000 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-14","Development exit finance explainer","9:16, 1:1, 16:9","commercial bridging loans","/guides/commercial-bridging-loans","What developers need to know about commercial bridging loans","880 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-15","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","uk bridging finance","/guides/uk-bridging-finance","What developers need to know about uk bridging finance","2900 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-16","Location market snapshot","9:16, 1:1, 16:9","property development finance in scotland","/guides/property-development-finance-in-scotland","What developers need to know about property development finance in scotland","480 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-17","Weekly market and rate update","9:16, 1:1, 16:9","development finance lender","/services/development-finance-lender","What developers need to know about development finance lender","390 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-18","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","commercial development financing","/guides/commercial-development-financing","What developers need to know about commercial development financing","210 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-19","Case study animation","9:16, 1:1, 16:9","bridging loan for property development","/guides/bridging-loan-for-property-development","What developers need to know about bridging loan for property development","390 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"2","seo-20","Developer mistakes short","9:16, 1:1, 16:9","bridging finance uk","/guides/bridging-finance-uk","What developers need to know about bridging finance uk","2900 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-21","Planning approval funding view","9:16, 1:1, 16:9","development finance property","/guides/development-finance-property","What developers need to know about development finance property","720 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-22","70% LTGDV site breakdown","9:16, 1:1, 16:9","bridging finance broker","/services/bridging-finance-broker","What developers need to know about bridging finance broker","720 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-23","Bridging loan rate explainer","9:16, 1:1, 16:9","lending for property development","/guides/lending-for-property-development","What developers need to know about lending for property development","1000 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-24","Development exit finance explainer","9:16, 1:1, 16:9","bridge loan london","/locations/[county]/[town]/bridge-loan-london","What developers need to know about bridge loan london","590 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-25","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","property development loan","/guides/property-development-loan","What developers need to know about property development loan","1000 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-26","Location market snapshot","9:16, 1:1, 16:9","development exit loan","/guides/development-exit-loan","What developers need to know about development exit loan","90 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-27","Weekly market and rate update","9:16, 1:1, 16:9","bridge loan commercial","/guides/bridge-loan-commercial","What developers need to know about bridge loan commercial","140 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-28","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","bridging loans broker","/services/bridging-loans-broker","What developers need to know about bridging loans broker","720 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-29","Case study animation","9:16, 1:1, 16:9","regulated bridging loan","/guides/regulated-bridging-loan","What developers need to know about regulated bridging loan","390 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"3","seo-30","Developer mistakes short","9:16, 1:1, 16:9","bridging loan interest rates","/calculators/bridging-loan-interest-rates","What developers need to know about bridging loan interest rates","1300 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-31","Planning approval funding view","9:16, 1:1, 16:9","development finance loans","/guides/development-finance-loans","What developers need to know about development finance loans","390 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-32","70% LTGDV site breakdown","9:16, 1:1, 16:9","uk property development finance","/guides/uk-property-development-finance","What developers need to know about uk property development finance","110 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-33","Bridging loan rate explainer","9:16, 1:1, 16:9","loans for development","/guides/loans-for-development","What developers need to know about loans for development","480 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-34","Development exit finance explainer","9:16, 1:1, 16:9","bridging finance on property","/guides/bridging-finance-on-property","What developers need to know about bridging finance on property","720 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-35","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","bridging loan scotland","/guides/bridging-loan-scotland","What developers need to know about bridging loan scotland","1600 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-36","Location market snapshot","9:16, 1:1, 16:9","development exit loans","/guides/development-exit-loans","What developers need to know about development exit loans","90 monthly searches; P1 opportunity","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-37","Weekly market and rate update","9:16, 1:1, 16:9","uk bridging loan","/guides/uk-bridging-loan","What developers need to know about uk bridging loan","2900 monthly searches; P1 opportunity","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-38","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","regulated bridging loans","/guides/regulated-bridging-loans","What developers need to know about regulated bridging loans","390 monthly searches; P1 opportunity","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-39","Case study animation","9:16, 1:1, 16:9","bridging loan brokers","/services/bridging-loan-brokers","What developers need to know about bridging loan brokers","880 monthly searches; P1 opportunity","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"4","seo-40","Developer mistakes short","9:16, 1:1, 16:9","loans for property development","/guides/loans-for-property-development","What developers need to know about loans for property development","1000 monthly searches; P1 opportunity","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok, website embed"
"1","recurring-1","Planning approval funding view","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-2","70% LTGDV site breakdown","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-3","Bridging loan rate explainer","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-4","Development exit finance explainer","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"1","recurring-5","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-6","Location market snapshot","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-7","Weekly market and rate update","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-8","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-9","Case study animation","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"2","recurring-10","Developer mistakes short","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-11","Planning approval funding view","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-12","70% LTGDV site breakdown","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-13","Bridging loan rate explainer","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-14","Development exit finance explainer","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"3","recurring-15","Senior plus mezzanine plus equity structure","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-16","Location market snapshot","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Book a funding review","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-17","Weekly market and rate update","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Send planning consent","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-18","Podcast clip with captions and data overlays","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Join the introducer programme","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-19","Case study animation","9:16, 1:1, 16:9","Weekly development finance market update","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Submit a deal","LinkedIn, YouTube Shorts, Reels, TikTok"
"4","recurring-20","Developer mistakes short","9:16, 1:1, 16:9","Common funding mistake for developers","/deal-room","Short practical funding note for UK property developers","Senior, mezzanine and equity routes compared","Ask for indicative terms","LinkedIn, YouTube Shorts, Reels, TikTok"
